11,Жогорку Кенеш Кыргызской Республики
11 1 1 0,Жогорку Кенеш Кыргызской Республики (аппарат)
11 2 1 0,Управление делами Жогорку Кенеша Кыргызской Республики
11 3 1 0,Автопредприятие Управления делами Жогорку Кенеша Кыргызской Республики
11 4 1 0,Секретариат спецпредставительства Жогорку Кенеш МПО  
11 8 1 0,Резервный фонд Торага
12,Аппарат Президента Кыргызской Республики
12 1 1 0,Аппарат Президента Кыргызской Республики (аппарат)
12 1 2 0,Аппарат Президента Кыргызской Республики (общехозяйственная деятельность)
12 1 3 0,Фонд образования при Президенте Кыргызской Республики
12 1 4 0,Секретариат Совета обороны при Президенте Кыргызской Республики
12 2 2 0,Управление делами Президента и Правительства Кыргызской Республики (аппарат и прочие подведомственные учреждения )
12 2 3 0,Лечебно-оздоровительное объединение Управления делами Президента Кыргызской Республики
12 8 1 0,Резервный фонд Президента Кыргызской Республики
12 9 1 1,Аппарат Президента Кыргызской Республики (ПГИ) софинансирование
12 9 2 1,Аппарат  Президента Кыргызской Республики (Грант)
12 9 3 1,Аппарат Президента Кыргызской Республики (Кредит)
13,Архив Президента Кыргызской Республики
13 1 2 0,Архив Президента Кыргызской Республики
14,Аппарат Правительства Кыргызской Республики
14 1 1 0,Аппарат Правительства Кыргызской Республики
14 8 1 0,Резервный фонд Правительства Кыргызской Республики
15,"Национальный центр Кыргызской Республики по предупреждению пыток и других жестоких, бесчеловечных или унижающих достоинство видов обращения и наказания "
15 1 1 0,"Национальный центр Кыргызской Республики по предупреждению пыток и других жестоких, бесчеловечных или унижающих достоинство видов обращения и наказания "
16,Верховный суд Кыргызской Республики
16 1 1 0,Верховный суд Кыргызской Республики (аппарат)
16 1 2 0,Верховный суд Кыргызской Республики (Подведомственные учреждения)
16 2 1 0,Конституционная палата Верховного суда Кыргызской Республики (аппарат)
16 3 1 0,Судебный департамент  Кыргызской Республики (аппарат)
16 3 2 0,Судебный департамент Кыргызской Республики  (подведомственные учреждения)
17,Счетная палата Кыргызской Республики
17 1 1 0,Счетная палата Кыргызской Республики (аппарат)
17 1 2 0,Счетная палата Кыргызской Республики (областные и районные органы)
18,Центральная комиссия по выборам и проведению референдумов Кыргызской Республики
18 1 1 0,Центральная комиссия по выборам и проведению референдумов Кыргызской Республики (аппарат)
18 1 2 0,Центральная комиссия по выборам и проведению референдумов Кыргызской Республики (выборы)
19,Генеральная прокуратура Кыргызской Республики
19 1 1 0,Генеральная прокуратура Кыргызской Республики (аппарат)
19 1 2 0,Генеральная прокуратура Кыргызской Республики (областные и районные органы)
20,Военная прокуратура Кыргызской Республики
20 1 1 0,Военная прокуратура Кыргызской Республики
21,Аппарат Омбудсмена Кыргызской Республики
21 1 1 0,Аппарат Омбудсмена (Акыйкатчы) Кыргызской Республики
22,Министерство юстиции Кыргызской Республики
22 1 1 0,Министерство юстиции Кыргызской Республики (аппарат)
22 1 2 0,Министерство юстиции Кыргызской Республики (подведомственные организации)
22 2 1 0,Государственный центр судебных экспертиз при Министерстве юстиции Кыргызской Республики
23,Министерство иностранных дел Кыргызской Республики
23 1 1 0,Министерство иностранных дел Кыргызской Республики (аппарат)
23 1 2 0,Министерство иностранных дел Кыргызской Республики (подведомственные представительства)
23 1 3 0,"Министерство иностранных дел Кыргызской Республики (""Кыргыздипсервис"")"
41 2 3 0,Дирекция строительства водохозяйственных объектов
23 1 4 0,Министерство иностранных дел Кыргызской Республики (Загранучреждения Кыргызской Республики)
23 1 5 0,Министерство иностранных дел Кыргызской Республики (дипломатическая академия)
24,Резервные и другие фонды территорий
24 1 2 0,Фонд развития Иссык-Кульской области
24 1 3 0,Фонд развития Нарынской области
